title,rating,year,actors,runtime,languages,url
Viy,7.3,1967,Leonid Kuravlyov;Natalya Varley;Aleksey Glazyrin;Nikolay Kutuzov,77,Russian,https://www.imdb.com//title/tt0062453/
La collectionneuse,7.3,1967,Patrick Bauchau;Haydée Politoff;Daniel Pommereulle;Alain Jouffroy,89,Italian;French;English,https://www.imdb.com//title/tt0061495/
Koroshi no rakuin,7.3,1967,Jô Shishido;Mariko Ogawa;Annu Mari;Kôji Nanbara,91,Japanese;English,https://www.imdb.com//title/tt0061882/
Targets,7.3,1968,Tim O'Kelly;Boris Karloff;Arthur Peterson;Monte Landis,90,English,https://www.imdb.com//title/tt0063671/
"Yours, Mine and Ours",7.2,1968,Lucille Ball;Henry Fonda;Van Johnson;Louise Troy,111,English;French;Cantonese;Japanese,https://www.imdb.com//title/tt0063829/
Hell in the Pacific,7.3,1968,Lee Marvin;Toshirô Mifune,103,English;Japanese,https://www.imdb.com//title/tt0063056/
La mariée était en noir,7.2,1968,Jeanne Moreau;Jean-Claude Brialy;Michel Bouquet;Charles Denner,107,French,https://www.imdb.com//title/tt0061955/
Asterix en Cleopatra,7.2,1968,Roger Carel;Jacques Morel;Micheline Dax;Jacques Balutin,72,French,https://www.imdb.com//title/tt0062687/
De Cactusbloem,7.2,1969,Walter Matthau;Ingrid Bergman;Goldie Hawn;Jack Weston,104,English,https://www.imdb.com//title/tt0064117/
Pak de poen en smeer 'm,7.2,1969,Woody Allen;Janet Margolin;Marcel Hillaire;Jacquelyn Hyde,85,English;Yiddish,https://www.imdb.com//title/tt0065063/
The Italian Job,7.2,1969,Michael Caine;Noël Coward;Benny Hill;Raf Vallone,99,English;Italian,https://www.imdb.com//title/tt0064505/
Easy Rider,7.3,1969,Peter Fonda;Dennis Hopper;Jack Nicholson;Antonio Mendoza,95,"English;Spanish;Greek, Ancient (to 1453)",https://www.imdb.com//title/tt0064276/
De eenogige sheriff,7.4,1969,John Wayne;Kim Darby;Glen Campbell;Jeremy Slate,128,English,https://www.imdb.com//title/tt0065126/
Deep End,7.2,1970,Jane Asher;John Moulder-Brown;Karl Michael Vogler;Christopher Sandford,92,English,https://www.imdb.com//title/tt0066122/
Husbands,7.2,1970,Ben Gazzara;Peter Falk;John Cassavetes;Jenny Runacre,154,English;French;Italian;Cantonese,https://www.imdb.com//title/tt0065867/
Waterloo,7.2,1970,Rod Steiger;Christopher Plummer;Orson Welles;Jack Hawkins,134,English,https://www.imdb.com//title/tt0066549/
El Topo,7.2,1970,Alejandro Jodorowsky;Brontis Jodorowsky;José Legarreta;Alfonso Arau,125,Spanish,https://www.imdb.com//title/tt0067866/
The Ballad of Cable Hogue,7.2,1970,Jason Robards;Stella Stevens;David Warner;Strother Martin,121,English,https://www.imdb.com//title/tt0065446/
The Hospital,7.2,1971,George C. Scott;Diana Rigg;Barnard Hughes;Richard Dysart,103,English,https://www.imdb.com//title/tt0067217/
The Go-Between,7.2,1971,Julie Christie;Alan Bates;Dominic Guard;Margaret Leighton,116,English,https://www.imdb.com//title/tt0067144/
Two-Lane Blacktop,7.2,1971,James Taylor;Warren Oates;Laurie Bird;Dennis Wilson,102,English,https://www.imdb.com//title/tt0067893/
Continuavano a chiamarlo Trinità,7.2,1971,Terence Hill;Bud Spencer;Yanti Somer;Enzo Tarascio,117,Italian;English;Latin,https://www.imdb.com//title/tt0068154/
Vanishing Point,7.2,1971,Barry Newman;Cleavon Little;Charlotte Rampling;Dean Jagger,99,English,https://www.imdb.com//title/tt0067927/
De grote blonde met één zwarte schoen,7.2,1972,Pierre Richard;Bernard Blier;Jean Rochefort;Mireille Darc,90,French;English,https://www.imdb.com//title/tt0068655/
Avanti!,7.2,1972,Jack Lemmon;Juliet Mills;Clive Revill;Edward Andrews,144,English;Italian,https://www.imdb.com//title/tt0068240/
Vlinders zijn vrij,7.2,1972,Goldie Hawn;Edward Albert;Eileen Heckart;Paul Michael Glaser,109,English,https://www.imdb.com//title/tt0068326/
The Way of the Dragon,7.2,1972,Bruce Lee;Chuck Norris;Nora Miao;Ping-Ou Wei,99,Mandarin;Cantonese;English;Italian,https://www.imdb.com//title/tt0068935/
Roma,7.3,1972,Britta Barnes;Peter Gonzales Falcon;Fiona Florence;Pia De Doses,120,Italian;German;English;French;Latin;Spanish,https://www.imdb.com//title/tt0069191/
Don't Look Now,7.2,1973,Julie Christie;Donald Sutherland;Hilary Mason;Clelia Matania,110,English;Italian,https://www.imdb.com//title/tt0069995/
Emperor of the North Pole,7.2,1973,Lee Marvin;Ernest Borgnine;Keith Carradine;Charles Tyner,118,English,https://www.imdb.com//title/tt0070030/
Magnum Force,7.2,1973,Clint Eastwood;Hal Holbrook;Mitchell Ryan;David Soul,124,English,https://www.imdb.com//title/tt0070355/
Mean Streets,7.2,1973,Robert De Niro;Harvey Keitel;David Proval;Amy Robinson,112,English;Italian;German,https://www.imdb.com//title/tt0070379/
The Last of Sheila,7.2,1973,Richard Benjamin;James Coburn;James Mason;Dyan Cannon,120,English;French,https://www.imdb.com//title/tt0070291/
California Split,7.2,1974,George Segal;Elliott Gould;Ann Prentiss;Gwen Welles,108,English,https://www.imdb.com//title/tt0071269/
The Yakuza,7.2,1974,Robert Mitchum;Ken Takakura;Brian Keith;Herb Edelman,112,English;Japanese,https://www.imdb.com//title/tt0073918/
Phantom of the Paradise,7.3,1974,Paul Williams;William Finley;Jessica Harper;Gerrit Graham,91,English,https://www.imdb.com//title/tt0071994/
Black Christmas,7.2,1974,Olivia Hussey;Keir Dullea;Margot Kidder;John Saxon,98,English,https://www.imdb.com//title/tt0071222/
Les valseuses,7.2,1974,Gérard Depardieu;Miou-Miou;Patrick Dewaere;Christian Alers,150,French,https://www.imdb.com//title/tt0072353/
Hard Times,7.2,1975,Charles Bronson;James Coburn;Jill Ireland;Strother Martin,93,English,https://www.imdb.com//title/tt0073092/
L'histoire d'Adèle H.,7.3,1975,Isabelle Adjani;Bruce Robinson;Sylvia Marriott;Joseph Blatchley,96,French;English,https://www.imdb.com//title/tt0073114/
The Rocky Horror Picture Show,7.4,1975,Tim Curry;Susan Sarandon;Barry Bostwick;Richard O'Brien,100,English,https://www.imdb.com//title/tt0073629/
Picnic at Hanging Rock,7.4,1975,Rachel Roberts;Anne-Louise Lambert;Vivean Gray;Helen Morse,115,English;French,https://www.imdb.com//title/tt0073540/
Three Days of the Condor,7.4,1975,Robert Redford;Faye Dunaway;Cliff Robertson;Max von Sydow,117,English;French,https://www.imdb.com//title/tt0073802/
Bound for Glory,7.2,1976,David Carradine;Ronny Cox;Melinda Dillon;Gail Strickland,147,English,https://www.imdb.com//title/tt0074235/
The Pink Panther Strikes Again,7.2,1976,Peter Sellers;Herbert Lom;Lesley-Anne Down;Burt Kwouk,103,English,https://www.imdb.com//title/tt0075066/
"Wie dan leeft, wie dan zorgt",7.2,1976,Louis de Funès;Coluche;Ann Zacharias;Julien Guiomar,104,French;English,https://www.imdb.com//title/tt0074103/
Who Can Kill a Child?,7.2,1976,Lewis Fiander;Prunella Ransome;Antonio Iranzo;Miguel Narros,112,English;Spanish;German,https://www.imdb.com//title/tt0075462/
The Killing of a Chinese Bookie,7.3,1976,Ben Gazzara;Timothy Carey;Seymour Cassel;Robert Phillips,135,English,https://www.imdb.com//title/tt0074749/
Der amerikanische Freund,7.4,1977,Dennis Hopper;Bruno Ganz;Lisa Kreuzer;Gérard Blain,128,German;English;French,https://www.imdb.com//title/tt0075675/
Eraserhead,7.3,1977,Jack Nance;Charlotte Stewart;Allen Joseph;Jeanne Bates,89,English,https://www.imdb.com//title/tt0074486/
L'homme qui aimait les femmes,7.4,1977,Charles Denner;Brigitte Fossey;Nelly Borgeaud;Geneviève Fontanel,120,French;English,https://www.imdb.com//title/tt0076155/
Hausu,7.3,1977,Kimiko Ikegami;Miki Jinbo;Kumiko Ohba;Ai Matsubara,88,Japanese,https://www.imdb.com//title/tt0076162/
Slap Shot,7.3,1977,Paul Newman;Michael Ontkean;Strother Martin;Jennifer Warren,123,English,https://www.imdb.com//title/tt0076723/
La Cage aux folles,7.2,1978,Ugo Tognazzi;Michel Serrault;Claire Maurier;Rémi Laurent,97,French,https://www.imdb.com//title/tt0077288/
Grease,7.2,1978,John Travolta;Olivia Newton-John;Stockard Channing;Jeff Conaway,110,English,https://www.imdb.com//title/tt0077631/
Killer of Sheep,7.2,1978,Henry G. Sanders;Kaycee Moore;Charles Bracy;Angela Burnett,80,English,https://www.imdb.com//title/tt0076263/
The Buddy Holly Story,7.2,1978,Gary Busey;Don Stroud;Charles Martin Smith;Conrad Janis,114,English,https://www.imdb.com//title/tt0077280/
"Same Time, Next Year",7.2,1978,Alan Alda;Ellen Burstyn;Ivan Bonar;Bernie Kuby,119,English,https://www.imdb.com//title/tt0078199/
The Great Santini,7.2,1979,Robert Duvall;Blythe Danner;Michael O'Keefe;Lisa Jane Persky,115,English,https://www.imdb.com//title/tt0079239/
Quadrophenia,7.2,1979,Phil Daniels;Leslie Ash;Phil Davis;Mark Wingett,120,English,https://www.imdb.com//title/tt0079766/
Rocky II,7.3,1979,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers,119,English;Italian,https://www.imdb.com//title/tt0079817/
Tess,7.3,1979,Nastassja Kinski;Peter Firth;Leigh Lawson;John Collin,186,English,https://www.imdb.com//title/tt0080009/
Norma Rae,7.3,1979,Sally Field;Beau Bridges;Ron Leibman;Pat Hingle,114,English,https://www.imdb.com//title/tt0079638/
Sällskapsresan eller Finns det svenskt kaffe på grisfesten,7.2,1980,Lasse Åberg;Lottie Ejebrant;Jon Skolmen;Kim Anderzon,107,Swedish;Norwegian;Spanish,https://www.imdb.com//title/tt0081590/
The Changeling,7.2,1980,George C. Scott;Trish Van Devere;Melvyn Douglas;Jean Marsh,107,English,https://www.imdb.com//title/tt0080516/
Caddyshack,7.2,1980,Chevy Chase;Rodney Dangerfield;Bill Murray;Ted Knight,98,English,https://www.imdb.com//title/tt0080487/
Stardust Memories,7.2,1980,Woody Allen;Charlotte Rampling;Jessica Harper;Marie-Christine Barrault,89,English;French;Persian,https://www.imdb.com//title/tt0081554/
Somewhere in Time,7.2,1980,Christopher Reeve;Jane Seymour;Christopher Plummer;Teresa Wright,103,English,https://www.imdb.com//title/tt0081534/
Diva,7.2,1981,Wilhelmenia Fernandez;Frédéric Andréi;Richard Bohringer;Thuy An Luu,117,French;English;Italian;Latin,https://www.imdb.com//title/tt0082269/
La femme d'à côté,7.2,1981,Gérard Depardieu;Fanny Ardant;Henri Garcin;Michèle Baumgartner,106,English;French,https://www.imdb.com//title/tt0082370/
La chèvre,7.3,1981,Pierre Richard;Gérard Depardieu;Pedro Armendáriz Jr.;Corynne Charbit,90,French;Spanish;English,https://www.imdb.com//title/tt0082183/
Reds,7.3,1981,Warren Beatty;Diane Keaton;Edward Herrmann;Jerzy Kosinski,195,English;Russian;German;French;Finnish;Italian,https://www.imdb.com//title/tt0082979/
The Fox and the Hound,7.3,1981,Mickey Rooney;Kurt Russell;Pearl Bailey;Jack Albertson,83,English,https://www.imdb.com//title/tt0082406/
Frances,7.3,1982,Jessica Lange;Jonathan Banks;Bonnie Bartlett;James Brodhead,140,English,https://www.imdb.com//title/tt0083967/
The Draughtsman's Contract,7.2,1982,Anthony Higgins;Janet Suzman;Anne-Louise Lambert;Hugh Fraser,108,English;German;Dutch,https://www.imdb.com//title/tt0083851/
My Favorite Year,7.3,1982,Peter O'Toole;Mark Linn-Baker;Jessica Harper;Joseph Bologna,92,English,https://www.imdb.com//title/tt0084370/
The Man from Snowy River,7.2,1982,Kirk Douglas;Tom Burlinson;Terence Donovan;Tommy Dysart,102,English,https://www.imdb.com//title/tt0084296/
The World According to Garp,7.2,1982,Robin Williams;Mary Beth Hurt;Glenn Close;John Lithgow,136,English,https://www.imdb.com//title/tt0084917/
Educating Rita,7.2,1983,Michael Caine;Julie Walters;Michael Williams;Maureen Lipman,110,English,https://www.imdb.com//title/tt0085478/
"Merry Christmas, Mr. Lawrence",7.2,1983,David Bowie;Tom Conti;Ryuichi Sakamoto;Takeshi Kitano,123,English;Japanese,https://www.imdb.com//title/tt0085933/
De vierde man,7.2,1983,Jeroen Krabbé;Renée Soutendijk;Thom Hoffman;Dolf de Vries,102,Dutch,https://www.imdb.com//title/tt0086543/
Strikt vertrouwelijk,7.2,1983,Fanny Ardant;Jean-Louis Trintignant;Jean-Pierre Kalfon;Philippe Laudenbach,110,Albanian;French,https://www.imdb.com//title/tt0086551/
À nos amours,7.2,1983,Sandrine Bonnaire;Maurice Pialat;Christophe Odent;Dominique Besnehard,99,French;English,https://www.imdb.com//title/tt0086650/
Top Secret!,7.2,1984,Val Kilmer;Lucy Gutteridge;Peter Cushing;Jeremy Kemp,90,English;German;Yiddish;Latin;French,https://www.imdb.com//title/tt0088286/
A Soldier's Story,7.2,1984,Howard E. Rollins Jr.;Adolph Caesar;Art Evans;David Alan Grier,101,English,https://www.imdb.com//title/tt0088146/
Birdy,7.2,1984,Matthew Modine;Nicolas Cage;John Harkins;Sandy Baron,120,English,https://www.imdb.com//title/tt0086969/
A Passage to India,7.3,1984,Judy Davis;Victor Banerjee;Peggy Ashcroft;James Fox,164,English;Hindi,https://www.imdb.com//title/tt0087892/
Het uur van de waarheid,7.3,1984,Ralph Macchio;Pat Morita;Elisabeth Shue;Martin Kove,126,English;Japanese,https://www.imdb.com//title/tt0087538/
Re-Animator,7.2,1985,Jeffrey Combs;Bruce Abbott;Barbara Crampton;David Gale,84,English;German,https://www.imdb.com//title/tt0089885/
Out of Africa,7.2,1985,Meryl Streep;Robert Redford;Klaus Maria Brandauer;Michael Kitchen,161,Arabic;English;Swahili,https://www.imdb.com//title/tt0089755/
Runaway Train,7.2,1985,Jon Voight;Eric Roberts;Rebecca De Mornay;Kyle T. Heffner,111,English,https://www.imdb.com//title/tt0089941/
Clue,7.2,1985,Eileen Brennan;Tim Curry;Madeline Kahn;Christopher Lloyd,94,English;French,https://www.imdb.com//title/tt0088930/
Mask,7.2,1985,Cher;Eric Stoltz;Sam Elliott;Estelle Getty,120,English,https://www.imdb.com//title/tt0089560/
The Hitcher,7.2,1986,Rutger Hauer;C. Thomas Howell;Jennifer Jason Leigh;Jeffrey DeMunn,97,English;French,https://www.imdb.com//title/tt0091209/
The Great Mouse Detective,7.2,1986,Vincent Price;Barrie Ingham;Val Bettin;Susanne Pollatschek,74,English;French;German;Italian,https://www.imdb.com//title/tt0091149/
Hokuto no Ken,7.2,1986,Akira Kamiya;Yuriko Yamamoto;Kenji Utsumi;Chikao Ôtsuka,110,Japanese,https://www.imdb.com//title/tt0142371/
Ginger e Fred,7.2,1986,Marcello Mastroianni;Giulietta Masina;Franco Fabrizi;Friedrich von Ledebur,125,Italian;English,https://www.imdb.com//title/tt0091113/
True Stories,7.2,1986,David Byrne;John Goodman;Annie McEnroe;Jo Harvey Allen,89,English,https://www.imdb.com//title/tt0092117/
Broadcast News,7.2,1987,William Hurt;Albert Brooks;Holly Hunter;Robert Prosky,133,English;Spanish;French;German,https://www.imdb.com//title/tt0092699/
Barfly,7.2,1987,Mickey Rourke;Faye Dunaway;Alice Krige;Jack Nance,100,English,https://www.imdb.com//title/tt0092618/
The Dead,7.2,1987,Anjelica Huston;Donal McCann;Helena Carroll;Cathleen Delany,83,English;Irish Gaelic,https://www.imdb.com//title/tt0092843/
House of Games,7.2,1987,Lindsay Crouse;Joe Mantegna;Mike Nussbaum;Lilia Skala,102,English;Latin,https://www.imdb.com//title/tt0093223/
Prick Up Your Ears,7.2,1987,Gary Oldman;Alfred Molina;Vanessa Redgrave;Wallace Shawn,105,English,https://www.imdb.com//title/tt0093776/
Eight Men Out,7.2,1988,John Cusack;Clifton James;Jace Alexander;Gordon Clapp,119,English,https://www.imdb.com//title/tt0095082/
Talk Radio,7.2,1988,Eric Bogosian;Ellen Greene;Leslie Hope;John C. McGinley,110,English,https://www.imdb.com//title/tt0096219/
They Live,7.2,1988,Roddy Piper;Keith David;Meg Foster;George 'Buck' Flower,94,English,https://www.imdb.com//title/tt0096256/
Willow,7.2,1988,Val Kilmer;Joanne Whalley;Warwick Davis;Jean Marsh,126,English,https://www.imdb.com//title/tt0096446/
Heathers,7.2,1988,Winona Ryder;Christian Slater;Shannen Doherty;Lisanne Falk,103,English,https://www.imdb.com//title/tt0097493/
"Sex, Lies, and Videotape",7.2,1989,James Spader;Andie MacDowell;Peter Gallagher;Laura San Giacomo,100,English,https://www.imdb.com//title/tt0098724/
Shirley Valentine,7.2,1989,Pauline Collins;Tom Conti;Julia McKenzie;Alison Steadman,108,English,https://www.imdb.com//title/tt0098319/
Major League,7.2,1989,Tom Berenger;Charlie Sheen;Corbin Bernsen;Margaret Whitton,107,English;Spanish;Japanese,https://www.imdb.com//title/tt0097815/
Born on the Fourth of July,7.2,1989,Tom Cruise;Bryan Larkin;Raymond J. Barry;Caroline Kava,145,English;Spanish,https://www.imdb.com//title/tt0096969/
The Unbelievable Truth,7.2,1989,Adrienne Shelly;Robert John Burke;Chris Cooke;Julia McNeal,90,English,https://www.imdb.com//title/tt0100842/
Die Hard 2,7.2,1990,Bruce Willis;William Atherton;Bonnie Bedelia;Reginald VelJohnson,124,English;Spanish,https://www.imdb.com//title/tt0099423/
Pump Up the Volume,7.2,1990,Christian Slater;Samantha Mathis;Anthony Lucero;Andy Romano,102,English,https://www.imdb.com//title/tt0100436/
Avalon,7.2,1990,Aidan Quinn;Elizabeth Perkins;Leo Fuchs;Eve Gordon,128,English;Yiddish,https://www.imdb.com//title/tt0099073/
Wild at Heart,7.2,1990,Nicolas Cage;Laura Dern;Willem Dafoe;J.E. Freeman,125,English;Spanish,https://www.imdb.com//title/tt0100935/
Truly Madly Deeply,7.2,1990,Juliet Stevenson;Alan Rickman;Jenny Howe;Carolyn Choa,106,English,https://www.imdb.com//title/tt0103129/
Flirting,7.2,1991,Noah Taylor;Thandiwe Newton;Nicole Kidman;Bartholomew Rose,99,English,https://www.imdb.com//title/tt0101898/
Rhapsody in August,7.2,1991,Sachiko Murase;Richard Gere;Hisashi Igawa;Narumi Kayashima,98,Japanese;English,https://www.imdb.com//title/tt0101991/
Fei ying gai wak,7.2,1991,Jackie Chan;Carol 'Do Do' Cheng;Eva Cobo;Shôko Ikeda,106,Cantonese,https://www.imdb.com//title/tt0099558/
Wild Hearts Can't Be Broken,7.2,1991,Gabrielle Anwar;Michael Schoeffling;Cliff Robertson;Dylan Kussman,88,English,https://www.imdb.com//title/tt0103262/
Once Upon a Time in China,7.2,1991,Jet Li;Rosamund Kwan;Biao Yuen;Jacky Cheung,134,Cantonese;English;French,https://www.imdb.com//title/tt0103285/
Strictly Ballroom,7.2,1992,Paul Mercurio;Tara Morice;Bill Hunter;Pat Thomson,94,English;Spanish,https://www.imdb.com//title/tt0105488/
Benny's Video,7.2,1992,Arno Frisch;Angela Winkler;Ulrich Mühe;Ingrid Stassner,110,German;English;Arabic;French,https://www.imdb.com//title/tt0103793/
Bitter Moon,7.2,1992,Hugh Grant;Kristin Scott Thomas;Emmanuelle Seigner;Peter Coyote,139,English;French,https://www.imdb.com//title/tt0104779/
A River Runs Through It,7.2,1992,Craig Sheffer;Brad Pitt;Tom Skerritt;Brenda Blethyn,123,English,https://www.imdb.com//title/tt0105265/
Twin Peaks: Fire Walk with Me,7.2,1992,Sheryl Lee;Ray Wise;Mädchen Amick;Dana Ashbrook,134,English,https://www.imdb.com//title/tt0105665/
"In weiter Ferne, so nah!",7.2,1993,Otto Sander;Bruno Ganz;Peter Falk;Horst Buchholz,144,German;French;English;Italian;Russian,https://www.imdb.com//title/tt0107209/
Tai gik Cheung Sam Fung,7.2,1993,Jet Li;Michelle Yeoh;Siu-Ho Chin;Fennie Yuen,96,Cantonese;Mandarin,https://www.imdb.com//title/tt0108281/
The Age of Innocence,7.2,1993,Daniel Day-Lewis;Michelle Pfeiffer;Winona Ryder;Linda Faye Farkas,139,English;Italian;French,https://www.imdb.com//title/tt0106226/
In the Line of Fire,7.2,1993,Clint Eastwood;John Malkovich;Rene Russo;Dylan McDermott,128,English,https://www.imdb.com//title/tt0107206/
Dragon Ball Z: Super Guy in the Galaxy,7.2,1993,Masako Nozawa;Toshio Furukawa;Mayumi Tanaka;Takeshi Kusao,50,Japanese,https://www.imdb.com//title/tt0142238/
Sutorîto faitâ II gekijô-ban,7.2,1994,Kôjiro Shimizu;Kenji Haga;Miki Fujitani;Masane Tsukayama,102,Japanese,https://www.imdb.com//title/tt0114563/
The Hudsucker Proxy,7.2,1994,Tim Robbins;Paul Newman;Jennifer Jason Leigh;Charles Durning,111,English,https://www.imdb.com//title/tt0110074/
Natural Born Killers,7.2,1994,Woody Harrelson;Juliette Lewis;Tom Sizemore;Rodney Dangerfield,119,English;Navajo;Japanese,https://www.imdb.com//title/tt0110632/
Nattevagten,7.2,1994,Nikolaj Coster-Waldau;Sofie Gråbøl;Kim Bodnia;Lotte Andersen,107,Danish;Swedish,https://www.imdb.com//title/tt0110631/
The Madness of King George,7.2,1994,Nigel Hawthorne;Helen Mirren;Rupert Graves;Amanda Donohoe,110,English,https://www.imdb.com//title/tt0110428/
Les trois frères,7.2,1995,Didier Bourdon;Bernard Campan;Pascal Légitimus;Antoine du Merle,105,French,https://www.imdb.com//title/tt0114732/
Strange Days,7.2,1995,Ralph Fiennes;Angela Bassett;Juliette Lewis;Tom Sizemore,145,English,https://www.imdb.com//title/tt0114558/
GoldenEye,7.2,1995,Pierce Brosnan;Sean Bean;Izabella Scorupco;Famke Janssen,130,English;Russian;Spanish,https://www.imdb.com//title/tt0113189/
Xích lô,7.2,1995,Le Van Loc;Tony Chiu-Wai Leung;Nu Yên-Khê Tran;Nhu Quynh Nguyen,123,Vietnamese,https://www.imdb.com//title/tt0112767/
Desperado,7.2,1995,Antonio Banderas;Salma Hayek;Joaquim de Almeida;Cheech Marin,104,English;Spanish,https://www.imdb.com//title/tt0112851/
Brassed Off,7.2,1996,Pete Postlethwaite;Tara Fitzgerald;Ewan McGregor;Stephen Tompkinson,108,English,https://www.imdb.com//title/tt0115744/
Mystery Science Theater 3000: The Movie,7.2,1996,Trace Beaulieu;Michael J. Nelson;Jim Mallon;Kevin Murphy,73,English,https://www.imdb.com//title/tt0117128/
Fire,7.2,1996,Shabana Azmi;Nandita Das;Karishma Jhalani;Ramanjeet Kaur,108,English;Hindi,https://www.imdb.com//title/tt0116308/
Twelfth Night or What You Will,7.2,1996,Helena Bonham Carter;Richard E. Grant;Imogen Stubbs;Steven Mackintosh,134,English,https://www.imdb.com//title/tt0117991/
Box of Moonlight,7.2,1996,John Turturro;Sam Rockwell;Catherine Keener;Lisa Blount,112,English,https://www.imdb.com//title/tt0115738/
Cube,7.2,1997,Nicole de Boer;Maurice Dean Wint;David Hewlett;Andrew Miller,90,English;German;French,https://www.imdb.com//title/tt0123755/
The Apostle,7.2,1997,Robert Duvall;Todd Allen;Paul Bagget;Lenore Banks,134,English,https://www.imdb.com//title/tt0118632/
The Spanish Prisoner,7.2,1997,Steve Martin;Ben Gazzara;Campbell Scott;Ricky Jay,110,English,https://www.imdb.com//title/tt0120176/
Henry Fool,7.2,1997,Thomas Jay Ryan;James Urbaniak;Parker Posey;Maria Porter,137,English,https://www.imdb.com//title/tt0122529/
In the Company of Men,7.2,1997,Aaron Eckhart;Matt Malloy;Stacy Edwards;Michael Martin,97,English;American Sign Language,https://www.imdb.com//title/tt0119361/
The Mighty,7.2,1998,Kieran Culkin;Elden Henson;Sharon Stone;Harry Dean Stanton,100,English,https://www.imdb.com//title/tt0119670/
Without Limits,7.2,1998,Billy Crudup;Donald Sutherland;Monica Potter;Jeremy Sisto,117,English;Finnish;German,https://www.imdb.com//title/tt0119934/
Ringu,7.2,1998,Nanako Matsushima;Miki Nakatani;Yûko Takeuchi;Hitomi Satô,96,Japanese,https://www.imdb.com//title/tt0178868/
Jing Ke ci Qin Wang,7.2,1998,Gong Li;Fengyi Zhang;Zhou Sun;Xiaohe Lü,162,Mandarin,https://www.imdb.com//title/tt0162866/
Smoke Signals,7.2,1998,Adam Beach;Evan Adams;Irene Bedard;Gary Farmer,89,English,https://www.imdb.com//title/tt0120321/
Notting Hill,7.2,1999,Hugh Grant;Julia Roberts;Richard McCabe;Rhys Ifans,124,English;Spanish;French,https://www.imdb.com//title/tt0125439/
Aimée & Jaguar,7.2,1999,Maria Schrader;Juliane Köhler;Johanna Wokalek;Heike Makatsch,125,German,https://www.imdb.com//title/tt0130444/
Hei kek ji wong,7.2,1999,Stephen Chow;Karen Mok;Cecilia Cheung;Man-Tat Ng,85,Cantonese,https://www.imdb.com//title/tt0188766/
Arlington Road,7.2,1999,Jeff Bridges;Tim Robbins;Joan Cusack;Hope Davis,117,English,https://www.imdb.com//title/tt0137363/
Sweet and Lowdown,7.2,1999,Sean Penn;Samantha Morton;Woody Allen;Ben Duncan,95,English,https://www.imdb.com//title/tt0158371/
La comunidad,7.2,2000,Carmen Maura;Eduardo Antuña;María Asquerino;Jesús Bonilla,110,Spanish,https://www.imdb.com//title/tt0255067/
Pay It Forward,7.2,2000,Kevin Spacey;Haley Joel Osment;Helen Hunt;Jay Mohr,123,English,https://www.imdb.com//title/tt0223897/
Chopper,7.2,2000,Eric Bana;Simon Lyndon;Vince Colosimo;Renée Brack,94,English,https://www.imdb.com//title/tt0221073/
Happy Accidents,7.2,2000,Marisa Tomei;Vincent D'Onofrio;Holland Taylor;Mick Weber,110,English,https://www.imdb.com//title/tt0208196/
Men of Honor,7.2,2000,Cuba Gooding Jr.;Robert De Niro;Charlize Theron;Aunjanue Ellis,129,English,https://www.imdb.com//title/tt0203019/
Tape,7.2,2001,Ethan Hawke;Robert Sean Leonard;Uma Thurman,86,English,https://www.imdb.com//title/tt0275719/
Musa,7.2,2001,Jung Woo-sung;Sung-Ki Ahn;Ju Jin-Mo;Ziyi Zhang,158,Korean;Mandarin,https://www.imdb.com//title/tt0275083/
Tmavomodrý svet,7.2,2001,Ondrej Vetchý;Krystof Hádek;Tara Fitzgerald;Charles Dance,112,Czech;German;English;Slovak,https://www.imdb.com//title/tt0244479/
Bella Martha,7.2,2001,Martina Gedeck;Maxime Foerste;Sergio Castellitto;August Zirner,109,German;Italian,https://www.imdb.com//title/tt0246772/
Gosford Park,7.2,2001,Maggie Smith;Ryan Phillippe;Michael Gambon;Kristin Scott Thomas,137,English;Latin,https://www.imdb.com//title/tt0280707/
8 Mile,7.2,2002,Eminem;Brittany Murphy;Kim Basinger;Mekhi Phifer,110,English,https://www.imdb.com//title/tt0298203/
Red Dragon,7.2,2002,Anthony Hopkins;Edward Norton;Ralph Fiennes;Harvey Keitel,124,English;French,https://www.imdb.com//title/tt0289765/
Neko no ongaeshi,7.2,2002,Chizuru Ikewaki;Yoshihiko Hakamada;Aki Maeda;Takayuki Yamada,75,Japanese;English,https://www.imdb.com//title/tt0347618/
He Loves Me. He Loves Me Not.,7.2,2002,Audrey Tautou;Samuel Le Bihan;Isabelle Carré;Sophie Guillemin,92,French,https://www.imdb.com//title/tt0291579/
Spirit: Stallion of the Cimarron,7.2,2002,Matt Damon;James Cromwell;Daniel Studi;Chopper Bernet,83,English,https://www.imdb.com//title/tt0166813/
The Dreamers,7.2,2003,Michael Pitt;Louis Garrel;Eva Green;Anna Chancellor,115,English;French,https://www.imdb.com//title/tt0309987/
The Matrix Reloaded,7.2,2003,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving,138,English;French,https://www.imdb.com//title/tt0234215/
Jigureul jikyeora!,7.2,2003,Shin Ha-kyun;Yun-shik Baek;Jung-min Hwang;Jae-yong Lee,118,Korean,https://www.imdb.com//title/tt0354668/
Cold Mountain,7.2,2003,Jude Law;Nicole Kidman;Renée Zellweger;Eileen Atkins,154,English,https://www.imdb.com//title/tt0159365/
