title,rating,year,actors,runtime,languages,url
Een gevaarlijke vrouw,7.5,1938,Bette Davis;Henry Fonda;George Brent;Margaret Lindsay,104,English;French,https://www.imdb.com//title/tt0030287/
A Christmas Carol,7.5,1938,Reginald Owen;Gene Lockhart;Kathleen Lockhart;Terry Kilburn,69,English,https://www.imdb.com//title/tt0029992/
Jongensstad,7.2,1938,Spencer Tracy;Mickey Rooney;Henry Hull;Leslie Fenton,96,English;Hebrew,https://www.imdb.com//title/tt0029942/
The Little Princess,7.2,1939,Shirley Temple;Richard Greene;Anita Louise;Ian Hunter,93,English;Hindi,https://www.imdb.com//title/tt0031580/
Love Affair,7.3,1939,Irene Dunne;Charles Boyer;Maria Ouspenskaya;Lee Bowman,88,English;French,https://www.imdb.com//title/tt0031593/
Gunga Din,7.3,1939,Cary Grant;Joan Fontaine;Victor McLaglen;Douglas Fairbanks Jr.,117,English,https://www.imdb.com//title/tt0031398/
The Adventures of Sherlock Holmes,7.3,1939,Basil Rathbone;Nigel Bruce;Ida Lupino;Alan Marshal,85,English,https://www.imdb.com//title/tt0031022/
De hond van de Baskervilles,7.4,1939,Basil Rathbone;Nigel Bruce;Richard Greene;Wendy Barrie,80,English,https://www.imdb.com//title/tt0031448/
The Westerner,7.3,1940,Gary Cooper;Walter Brennan;Doris Davenport;Fred Stone,100,English,https://www.imdb.com//title/tt0033253/
Duistere wegen,7.3,1940,George Raft;Humphrey Bogart;Ann Sheridan;Ida Lupino,95,English,https://www.imdb.com//title/tt0033149/
Wie van mijn vrouwtjes?,7.3,1940,Irene Dunne;Cary Grant;Randolph Scott;Gail Patrick,88,English,https://www.imdb.com//title/tt0029284/
De dief van Bagdad,7.4,1940,Conrad Veidt;Sabu;June Duprez;John Justin,106,English,https://www.imdb.com//title/tt0033152/
Tweestrijd der gevoelens,7.4,1940,Greer Garson;Laurence Olivier;Mary Boland;Edna May Oliver,118,English,https://www.imdb.com//title/tt0032943/
Dumbo,7.3,1941,Sterling Holloway;Edward Brophy;Herman Bing;Billy Bletcher,64,English,https://www.imdb.com//title/tt0033563/
The Wolf Man,7.2,1941,Claude Rains;Warren William;Ralph Bellamy;Patric Knowles,70,English,https://www.imdb.com//title/tt0034398/
Detective tegen wil en dank,7.2,1941,William Powell;Myrna Loy;Barry Nelson;Donna Reed,97,English,https://www.imdb.com//title/tt0034172/
Tot aan de laatste man,7.2,1941,Errol Flynn;Olivia de Havilland;Arthur Kennedy;Charley Grapewin,140,English,https://www.imdb.com//title/tt0034277/
Man Hunt,7.2,1941,Walter Pidgeon;Joan Bennett;George Sanders;John Carradine,105,English;German,https://www.imdb.com//title/tt0033873/
Woman of the Year,7.2,1942,Spencer Tracy;Katharine Hepburn;Fay Bainter;Reginald Owen,114,English;French;Russian;German;Spanish;Greek,https://www.imdb.com//title/tt0035567/
Cat People,7.2,1942,Simone Simon;Tom Conway;Kent Smith;Jane Randolph,73,English;Czech;Serbian,https://www.imdb.com//title/tt0034587/
Het schip waarop wij vochten,7.2,1942,Noël Coward;John Mills;Bernard Miles;Celia Johnson,115,English,https://www.imdb.com//title/tt0034891/
Bambi,7.3,1942,Hardie Albright;Stan Alexander;Bobette Audrey;Peter Behn,70,English,https://www.imdb.com//title/tt0034492/
The Major and the Minor,7.4,1942,Ginger Rogers;Ray Milland;Rita Johnson;Robert Benchley,100,English,https://www.imdb.com//title/tt0035019/
Heaven Can Wait,7.4,1943,Gene Tierney;Don Ameche;Charles Coburn;Marjorie Main,112,English;French,https://www.imdb.com//title/tt0035979/
Hangmen Also Die!,7.4,1943,Brian Donlevy;Walter Brennan;Anna Lee;Gene Lockhart,134,English;German,https://www.imdb.com//title/tt0035966/
Sahara,7.5,1943,Humphrey Bogart;Bruce Bennett;J. Carrol Naish;Lloyd Bridges,97,English;German;Italian;French,https://www.imdb.com//title/tt0036323/
Lassie komt thuis,7.2,1943,Roddy McDowall;Donald Crisp;May Whitty;Edmund Gwenn,89,English,https://www.imdb.com//title/tt0036098/
Five Graves to Cairo,7.3,1943,Franchot Tone;Anne Baxter;Akim Tamiroff;Erich von Stroheim,96,English;German,https://www.imdb.com//title/tt0035884/
The Scarlet Claw,7.2,1944,Basil Rathbone;Nigel Bruce;Gerald Hamer;Paul Cavanagh,74,English,https://www.imdb.com//title/tt0037248/
Thirty Seconds Over Tokyo,7.2,1944,Spencer Tracy;Van Johnson;Robert Walker;Tim Murdock,138,English;Mandarin,https://www.imdb.com//title/tt0037366/
The Uninvited,7.3,1944,Ray Milland;Ruth Hussey;Donald Crisp;Cornelia Otis Skinner,99,English;Spanish,https://www.imdb.com//title/tt0037415/
National Velvet,7.3,1944,Mickey Rooney;Elizabeth Taylor;Donald Crisp;Anne Revere,123,English,https://www.imdb.com//title/tt0037120/
The Thin Man Goes Home,7.3,1944,William Powell;Myrna Loy;Lucile Watson;Gloria DeHaven,100,English,https://www.imdb.com//title/tt0037365/
The Bells of St. Mary's,7.2,1945,Bing Crosby;Ingrid Bergman;Henry Travers;William Gargan,126,English,https://www.imdb.com//title/tt0037536/
Ontsnapping van Corregidor,7.2,1945,Robert Montgomery;John Wayne;Donna Reed;Jack Holt,135,English,https://www.imdb.com//title/tt0038160/
The Body Snatcher,7.3,1945,Boris Karloff;Bela Lugosi;Henry Daniell;Edith Atwater,78,English,https://www.imdb.com//title/tt0037549/
Detour,7.3,1945,Tom Neal;Ann Savage;Claudia Drake;Edmund MacDonald,68,English,https://www.imdb.com//title/tt0037638/
And Then There Were None,7.4,1945,Barry Fitzgerald;Walter Huston;Louis Hayward;Roland Young,97,English,https://www.imdb.com//title/tt0037515/
The Razor's Edge,7.3,1946,Tyrone Power;Gene Tierney;John Payne;Anne Baxter,145,English;French,https://www.imdb.com//title/tt0038873/
De wenteltrap,7.3,1946,Dorothy McGuire;George Brent;Ethel Barrymore;Kent Smith,83,English,https://www.imdb.com//title/tt0038975/
The Strange Love of Martha Ivers,7.4,1946,Barbara Stanwyck;Van Heflin;Lizabeth Scott;Kirk Douglas,116,English,https://www.imdb.com//title/tt0038988/
The Yearling,7.2,1946,Gregory Peck;Jane Wyman;Claude Jarman Jr.;Chill Wills,128,English,https://www.imdb.com//title/tt0039111/
The Stranger,7.3,1946,Orson Welles;Edward G. Robinson;Loretta Young;Philip Merivale,95,English;Spanish;French,https://www.imdb.com//title/tt0038991/
The Bachelor and the Bobby-Soxer,7.2,1947,Cary Grant;Myrna Loy;Shirley Temple;Rudy Vallee,95,English;French,https://www.imdb.com//title/tt0039169/
Gentleman's Agreement,7.2,1947,Gregory Peck;Dorothy McGuire;John Garfield;Celeste Holm,118,English,https://www.imdb.com//title/tt0039416/
Born to Kill,7.2,1947,Claire Trevor;Lawrence Tierney;Walter Slezak;Phillip Terry,92,English;Latin;French,https://www.imdb.com//title/tt0039211/
Kruisverhoor,7.3,1947,Robert Young;Robert Mitchum;Robert Ryan;Gloria Grahame,86,English,https://www.imdb.com//title/tt0039286/
Kus des doods,7.4,1947,Victor Mature;Brian Donlevy;Coleen Gray;Richard Widmark,99,English,https://www.imdb.com//title/tt0039536/
Force of Evil,7.2,1948,John Garfield;Thomas Gomez;Marie Windsor;Howland Chamberlain,79,English,https://www.imdb.com//title/tt0040366/
De villa onzer dromen,7.2,1948,Cary Grant;Myrna Loy;Melvyn Douglas;Reginald Denny,94,English,https://www.imdb.com//title/tt0040613/
Brighton Rock,7.3,1948,Richard Attenborough;Hermione Baddeley;William Hartnell;Harcourt Williams,92,English,https://www.imdb.com//title/tt0039220/
"Sorry, Wrong Number",7.3,1948,Barbara Stanwyck;Burt Lancaster;Ann Richards;Wendell Corey,89,English,https://www.imdb.com//title/tt0040823/
Een avontuur in Berlijn,7.3,1948,Jean Arthur;Marlene Dietrich;John Lund;Millard Mitchell,116,English;German,https://www.imdb.com//title/tt0040367/
De heldhaftige stormloop,7.2,1949,John Wayne;Joanne Dru;John Agar;Ben Johnson,104,English,https://www.imdb.com//title/tt0041866/
Whiskey als water,7.2,1949,Basil Radford;Joan Greenwood;Catherine Lacey;Bruce Seton,82,English;Gaelic,https://www.imdb.com//title/tt0042040/
D.O.A.,7.2,1949,Edmond O'Brien;Pamela Britton;Luther Adler;Beverly Garland,83,English,https://www.imdb.com//title/tt0042369/
Holiday Affair,7.2,1949,Robert Mitchum;Janet Leigh;Wendell Corey;Gordon Gebert,87,English,https://www.imdb.com//title/tt0041473/
Het is feest vandaag,7.2,1949,Jacques Tati;Guy Decomble;Paul Frankeur;Santa Relli,70,French,https://www.imdb.com//title/tt0040497/
De gebroken pijl,7.2,1950,James Stewart;Jeff Chandler;Debra Paget;Basil Ruysdael,93,English;Apache languages,https://www.imdb.com//title/tt0042286/
Paniek op straat,7.2,1950,Richard Widmark;Paul Douglas;Barbara Bel Geddes;Jack Palance,96,English;Mandarin;Greek,https://www.imdb.com//title/tt0042832/
Father of the Bride,7.2,1950,Spencer Tracy;Joan Bennett;Elizabeth Taylor;Don Taylor,92,English,https://www.imdb.com//title/tt0042451/
Stromboli (Terra di Dio),7.2,1950,Ingrid Bergman;Mario Vitale;Renzo Cesana;Mario Sponzo,107,Italian;English;Spanish;German;French,https://www.imdb.com//title/tt0041931/
Cinderella,7.3,1950,Ilene Woods;James MacDonald;Eleanor Audley;Verna Felton,74,English,https://www.imdb.com//title/tt0042332/
Een amerikan in Parijs,7.2,1951,Gene Kelly;Leslie Caron;Oscar Levant;Georges Guétary,114,English;French;German,https://www.imdb.com//title/tt0043278/
Quo Vadis,7.2,1951,Robert Taylor;Deborah Kerr;Leo Genn;Peter Ustinov,171,English,https://www.imdb.com//title/tt0043949/
Hakuchi,7.2,1951,Setsuko Hara;Masayuki Mori;Toshirô Mifune;Yoshiko Kuga,166,Japanese,https://www.imdb.com//title/tt0043614/
Captain Horatio Hornblower,7.3,1951,Gregory Peck;Virginia Mayo;Robert Beatty;Moultrie Kelsall,117,English;French;Spanish,https://www.imdb.com//title/tt0043379/
On Dangerous Ground,7.3,1951,Ida Lupino;Robert Ryan;Ward Bond;Charles Kemper,82,English,https://www.imdb.com//title/tt0043879/
In de greep van de angst,7.5,1952,Joan Crawford;Jack Palance;Gloria Grahame;Bruce Bennett,110,English,https://www.imdb.com//title/tt0045205/
De laatste grens,7.3,1952,James Stewart;Rock Hudson;Arthur Kennedy;Julie Adams,91,English,https://www.imdb.com//title/tt0044413/
Lo sceicco bianco,7.2,1952,Alberto Sordi;Giulietta Masina;Brunella Bovo;Leopoldo Trieste,86,Italian,https://www.imdb.com//title/tt0044000/
Kansas City Confidential,7.3,1952,John Payne;Coleen Gray;Preston Foster;Neville Brand,99,English;Spanish,https://www.imdb.com//title/tt0044789/
Viva Zapata!,7.3,1952,Marlon Brando;Jean Peters;Anthony Quinn;Joseph Wiseman,113,English;Spanish,https://www.imdb.com//title/tt0045296/
Calamity Jane,7.2,1953,Doris Day;Howard Keel;Allyn Ann McLerie;Philip Carey,101,English,https://www.imdb.com//title/tt0045591/
Angel Face,7.2,1953,Robert Mitchum;Jean Simmons;Mona Freeman;Herbert Marshall,91,English;Japanese,https://www.imdb.com//title/tt0044357/
Ik beken,7.3,1953,Montgomery Clift;Anne Baxter;Karl Malden;Brian Aherne,95,English;French;Italian;German,https://www.imdb.com//title/tt0045897/
Opgejaagd,7.3,1953,James Stewart;Janet Leigh;Robert Ryan;Ralph Meeker,91,English,https://www.imdb.com//title/tt0044953/
Julius Caesar,7.3,1953,Louis Calhern;Marlon Brando;James Mason;John Gielgud,120,English,https://www.imdb.com//title/tt0045943/
"20,000 Leagues Under the Sea",7.2,1954,Kirk Douglas;James Mason;Paul Lukas;Peter Lorre,127,English,https://www.imdb.com//title/tt0046672/
Them!,7.2,1954,James Whitmore;Edmund Gwenn;Joan Weldon;James Arness,94,English,https://www.imdb.com//title/tt0047573/
Animal Farm,7.2,1954,Gordon Heath;Maurice Denham,72,English,https://www.imdb.com//title/tt0047834/
De pas des doods,7.2,1954,James Stewart;Ruth Roman;Corinne Calvet;Walter Brennan,97,English,https://www.imdb.com//title/tt0048055/
The Glenn Miller Story,7.3,1954,James Stewart;June Allyson;Harry Morgan;Charles Drake,115,English,https://www.imdb.com//title/tt0047030/
